delivery_id,pharmacy_id,courier_id,zone,order_created_at,promised_time,delivered_time,distance_miles,traffic_level,priority,weather_flag,status
D00000,P010,C010,33109,2026-03-14 11:27:00.531828,2026-03-14 11:59:00.531828,2026-03-14 12:07:14.058775,2.21,low,urgent,0,delivered
D00001,P000,C003,33109,2026-03-14 09:40:00.531828,2026-03-14 10:11:00.531828,2026-03-14 10:06:00.531828,3.59,high,urgent,1,delivered
D00002,P006,C042,33139,2026-03-14 07:27:00.531828,2026-03-14 08:02:00.531828,2026-03-14 08:04:35.062062,5.79,low,normal,1,delivered
D00003,P003,C030,33109,2026-03-14 07:42:00.531828,2026-03-14 08:11:00.531828,2026-03-14 08:10:15.864279,1.46,low,urgent,1,delivered
D00004,P011,C036,33139,2026-03-14 07:47:00.531828,2026-03-14 08:25:00.531828,2026-03-14 08:37:06.161010,3.26,high,normal,0,delivered
D00005,P006,C027,33139,2026-03-14 09:58:00.531828,2026-03-14 10:38:00.531828,2026-03-14 10:43:23.307830,3.95,high,normal,0,delivered
D00006,P005,C034,33101,2026-03-14 09:11:00.531828,2026-03-14 09:39:00.531828,2026-03-14 09:34:00.531828,1.16,medium,urgent,0,delivered
D00007,P007,C006,33139,2026-03-14 08:36:00.531828,2026-03-14 09:01:00.531828,2026-03-14 09:03:17.914087,4.25,high,normal,1,delivered
D00008,P005,C030,33101,2026-03-14 10:01:00.531828,2026-03-14 10:42:00.531828,2026-03-14 11:00:08.731774,5.83,medium,urgent,1,delivered
D00009,P002,C014,33137,2026-03-14 09:42:00.531828,2026-03-14 10:07:00.531828,2026-03-14 10:11:03.281565,3.56,high,normal,0,delivered
D00010,P010,C026,33109,2026-03-14 08:40:00.531828,2026-03-14 09:05:00.531828,2026-03-14 09:00:00.531828,2.76,low,normal,1,delivered
D00011,P003,C036,33109,2026-03-14 09:26:00.531828,2026-03-14 09:55:00.531828,2026-03-14 09:56:54.282780,4.85,medium,normal,1,delivered
D00012,P011,C021,33139,2026-03-14 07:05:00.531828,2026-03-14 07:47:00.531828,2026-03-14 07:42:00.531828,1.56,medium,normal,0,delivered
D00013,P007,C046,33139,2026-03-14 08:16:00.531828,2026-03-14 08:50:00.531828,2026-03-14 08:55:02.959737,2.27,low,urgent,0,delivered
D00014,P002,C013,33137,2026-03-14 08:14:00.531828,2026-03-14 08:57:00.531828,2026-03-14 08:52:00.531828,4.73,high,normal,1,delivered
D00015,P001,C018,33109,2026-03-14 11:04:00.531828,2026-03-14 11:38:00.531828,2026-03-14 11:43:26.547943,4.63,low,normal,0,delivered
D00016,P003,C011,33109,2026-03-14 06:57:00.531828,2026-03-14 07:33:00.531828,2026-03-14 07:39:35.754903,3.22,low,urgent,1,delivered
D00017,P001,C018,33109,2026-03-14 09:43:00.531828,2026-03-14 10:24:00.531828,2026-03-14 10:19:00.531828,1.07,medium,normal,1,delivered
D00018,P002,C007,33137,2026-03-14 11:12:00.531828,2026-03-14 11:41:00.531828,2026-03-14 11:41:08.889403,1.65,high,urgent,1,delivered
D00019,P006,C008,33139,2026-03-14 11:54:00.531828,2026-03-14 12:21:00.531828,2026-03-14 12:20:46.056776,4.55,medium,urgent,0,delivered
D00020,P007,C035,33139,2026-03-14 11:32:00.531828,2026-03-14 12:15:00.531828,2026-03-14 12:10:00.531828,3.55,medium,urgent,1,delivered
D00021,P011,C034,33139,2026-03-14 11:44:00.531828,2026-03-14 12:29:00.531828,2026-03-14 12:34:31.650021,3.23,high,urgent,1,delivered
D00022,P003,C000,33109,2026-03-14 06:40:00.531828,2026-03-14 07:20:00.531828,2026-03-14 07:41:55.171431,4.08,low,normal,0,delivered
D00023,P000,C025,33109,2026-03-14 12:07:00.531828,2026-03-14 12:50:00.531828,2026-03-14 12:53:24.572406,4.24,high,normal,0,delivered
D00024,P000,C011,33109,2026-03-14 09:54:00.531828,2026-03-14 10:30:00.531828,2026-03-14 10:29:19.118319,5.62,low,urgent,0,delivered
D00025,P008,C014,33101,2026-03-14 06:48:00.531828,2026-03-14 07:17:00.531828,2026-03-14 07:15:07.984629,3.29,high,urgent,0,delivered
D00026,P005,C023,33101,2026-03-14 09:44:00.531828,2026-03-14 10:25:00.531828,2026-03-14 10:23:52.736759,5.69,high,normal,0,delivered
D00027,P005,C037,33101,2026-03-14 11:05:00.531828,2026-03-14 11:39:00.531828,2026-03-14 11:34:00.531828,1.52,high,normal,0,delivered
D00028,P004,C025,33101,2026-03-14 11:23:00.531828,2026-03-14 11:55:00.531828,2026-03-14 11:58:31.666469,1.18,high,normal,0,delivered
D00029,P009,C031,33139,2026-03-14 10:00:00.531828,2026-03-14 10:35:00.531828,2026-03-14 10:36:20.200247,5.78,medium,urgent,0,delivered
D00030,P002,C027,33137,2026-03-14 06:47:00.531828,2026-03-14 07:24:00.531828,2026-03-14 07:19:00.531828,4.75,high,normal,0,delivered
D00031,P008,C023,33101,2026-03-14 11:32:00.531828,2026-03-14 12:13:00.531828,2026-03-14 12:24:37.027900,3.43,high,urgent,1,delivered
D00032,P010,C038,33109,2026-03-14 08:49:00.531828,2026-03-14 09:32:00.531828,2026-03-14 09:39:54.471876,2.57,low,normal,1,delivered
D00033,P009,C012,33139,2026-03-14 06:30:00.531828,2026-03-14 06:59:00.531828,2026-03-14 06:55:05.676518,5.6,low,urgent,1,delivered
D00034,P008,C042,33101,2026-03-14 06:29:00.531828,2026-03-14 06:58:00.531828,2026-03-14 06:53:00.531828,5.12,high,normal,0,delivered
D00035,P009,C011,33139,2026-03-14 11:09:00.531828,2026-03-14 11:44:00.531828,2026-03-14 12:01:30.277874,3.78,high,urgent,1,delivered
D00036,P011,C010,33139,2026-03-14 09:56:00.531828,2026-03-14 10:41:00.531828,2026-03-14 10:38:38.583618,4.83,low,normal,0,delivered
D00037,P006,C007,33139,2026-03-14 07:43:00.531828,2026-03-14 08:23:00.531828,2026-03-14 08:19:02.695527,3.66,medium,normal,1,delivered
D00038,P001,C026,33109,2026-03-14 10:02:00.531828,2026-03-14 10:36:00.531828,2026-03-14 10:39:02.001657,0.84,high,normal,0,delivered
D00039,P002,C042,33137,2026-03-14 08:29:00.531828,2026-03-14 09:04:00.531828,2026-03-14 08:59:00.531828,4.96,medium,normal,1,delivered
D00040,P002,C005,33137,2026-03-14 07:36:00.531828,2026-03-14 08:02:00.531828,2026-03-14 08:14:33.650919,0.88,medium,urgent,1,delivered
D00041,P003,C036,33109,2026-03-14 11:52:00.531828,2026-03-14 12:24:00.531828,2026-03-14 12:25:53.581433,5.88,medium,normal,1,delivered
D00042,P009,C047,33139,2026-03-14 11:13:00.531828,2026-03-14 11:39:00.531828,2026-03-14 11:41:47.321667,0.53,low,urgent,0,delivered
D00043,P002,C049,33137,2026-03-14 06:17:00.531828,2026-03-14 07:00:00.531828,2026-03-14 07:14:33.418215,4.55,low,normal,0,delivered
D00044,P004,C011,33101,2026-03-14 10:22:00.531828,2026-03-14 10:51:00.531828,2026-03-14 10:46:00.531828,3.86,medium,normal,0,delivered
D00045,P010,C007,33109,2026-03-14 09:33:00.531828,2026-03-14 10:03:00.531828,2026-03-14 10:07:41.796382,3.85,medium,normal,1,delivered
D00046,P006,C013,33139,2026-03-14 11:38:00.531828,2026-03-14 12:17:00.531828,2026-03-14 12:13:24.247785,2.98,low,normal,0,delivered
D00047,P004,C046,33101,2026-03-14 11:01:00.531828,2026-03-14 11:33:00.531828,2026-03-14 11:38:07.381129,5.82,high,urgent,1,delivered
D00048,P011,C023,33139,2026-03-14 07:13:00.531828,2026-03-14 07:45:00.531828,2026-03-14 07:49:28.947409,2.9,medium,normal,0,delivered
D00049,P007,C009,33139,2026-03-14 10:28:00.531828,2026-03-14 11:09:00.531828,2026-03-14 11:04:00.531828,5.04,high,normal,1,delivered
D00050,P001,C020,33109,2026-03-14 08:14:00.531828,2026-03-14 08:51:00.531828,2026-03-14 08:46:00.531828,2.37,high,normal,1,delivered
D00051,P006,C049,33139,2026-03-14 08:37:00.531828,2026-03-14 09:02:00.531828,2026-03-14 09:00:54.569199,4.91,low,urgent,1,delivered
D00052,P001,C043,33109,2026-03-14 11:54:00.531828,2026-03-14 12:34:00.531828,2026-03-14 12:29:00.531828,4.05,low,urgent,1,delivered
D00053,P004,C018,33101,2026-03-14 06:33:00.531828,2026-03-14 07:11:00.531828,2026-03-14 07:26:04.022801,2.56,low,urgent,1,delivered
D00054,P011,C040,33139,2026-03-14 07:41:00.531828,2026-03-14 08:24:00.531828,2026-03-14 08:19:00.531828,2.37,medium,urgent,1,delivered
D00055,P011,C042,33139,2026-03-14 08:06:00.531828,2026-03-14 08:32:00.531828,2026-03-14 08:27:00.531828,2.02,high,normal,1,delivered
D00056,P007,C034,33139,2026-03-14 10:25:00.531828,2026-03-14 10:55:00.531828,2026-03-14 11:07:06.091495,0.88,high,urgent,0,delivered
D00057,P010,C017,33109,2026-03-14 09:07:00.531828,2026-03-14 09:39:00.531828,2026-03-14 09:34:00.531828,0.69,low,normal,0,delivered
D00058,P006,C025,33139,2026-03-14 11:23:00.531828,2026-03-14 12:07:00.531828,2026-03-14 12:05:53.119493,2.58,medium,urgent,0,delivered
D00059,P005,C030,33101,2026-03-14 08:20:00.531828,2026-03-14 09:00:00.531828,2026-03-14 09:06:25.282064,4.52,medium,urgent,0,delivered
D00060,P008,C008,33101,2026-03-14 08:45:00.531828,2026-03-14 09:10:00.531828,2026-03-14 09:05:00.531828,2.38,high,urgent,1,delivered
D00061,P001,C041,33109,2026-03-14 09:15:00.531828,2026-03-14 09:47:00.531828,2026-03-14 09:42:00.531828,3.4,medium,urgent,1,delivered
D00062,P001,C048,33109,2026-03-14 07:00:00.531828,2026-03-14 07:26:00.531828,2026-03-14 07:46:15.117602,0.9,medium,normal,0,delivered
D00063,P006,C027,33139,2026-03-14 06:24:00.531828,2026-03-14 07:01:00.531828,2026-03-14 06:56:00.531828,3.32,low,normal,1,delivered
D00064,P001,C027,33109,2026-03-14 11:28:00.531828,2026-03-14 11:56:00.531828,2026-03-14 11:51:00.531828,3.75,high,urgent,1,delivered
D00065,P005,C017,33101,2026-03-14 07:28:00.531828,2026-03-14 08:03:00.531828,2026-03-14 08:02:53.278459,4.94,high,urgent,1,delivered
D00066,P010,C015,33109,2026-03-14 07:26:00.531828,2026-03-14 08:01:00.531828,2026-03-14 08:07:57.854483,2.61,medium,urgent,0,delivered
D00067,P008,C025,33101,2026-03-14 09:15:00.531828,2026-03-14 09:52:00.531828,2026-03-14 10:00:29.993094,2.76,low,normal,1,delivered
D00068,P007,C039,33139,2026-03-14 11:12:00.531828,2026-03-14 11:47:00.531828,2026-03-14 11:55:01.230240,4.29,low,urgent,1,delivered
D00069,P008,C045,33101,2026-03-14 08:21:00.531828,2026-03-14 09:06:00.531828,2026-03-14 09:27:07.055410,4.49,high,normal,1,delivered
D00070,P004,C033,33101,2026-03-14 11:42:00.531828,2026-03-14 12:22:00.531828,2026-03-14 12:32:44.318657,1.98,high,normal,0,delivered
D00071,P009,C046,33139,2026-03-14 08:38:00.531828,2026-03-14 09:19:00.531828,2026-03-14 09:42:38.855325,3.54,medium,urgent,1,delivered
D00072,P006,C028,33139,2026-03-14 11:36:00.531828,2026-03-14 12:20:00.531828,2026-03-14 12:31:11.860800,1.15,high,normal,0,delivered
D00073,P001,C013,33109,2026-03-14 11:04:00.531828,2026-03-14 11:29:00.531828,2026-03-14 11:47:20.885419,5.14,high,normal,0,delivered
D00074,P003,C022,33109,2026-03-14 10:12:00.531828,2026-03-14 10:43:00.531828,2026-03-14 10:55:04.462990,2.43,high,urgent,1,delivered
D00075,P011,C013,33139,2026-03-14 09:31:00.531828,2026-03-14 10:16:00.531828,2026-03-14 10:43:30.596148,5.04,medium,urgent,1,delivered
D00076,P008,C016,33101,2026-03-14 06:37:00.531828,2026-03-14 07:02:00.531828,2026-03-14 07:01:36.947455,4.81,high,normal,1,delivered
D00077,P011,C008,33139,2026-03-14 08:55:00.531828,2026-03-14 09:24:00.531828,2026-03-14 09:22:39.833757,4.3,high,normal,1,delivered
D00078,P004,C044,33101,2026-03-14 07:04:00.531828,2026-03-14 07:40:00.531828,2026-03-14 07:48:40.323798,3.9,medium,urgent,1,delivered
D00079,P008,C015,33101,2026-03-14 07:08:00.531828,2026-03-14 07:48:00.531828,2026-03-14 08:04:05.116381,0.95,high,normal,0,delivered
D00080,P003,C043,33109,2026-03-14 11:33:00.531828,2026-03-14 12:18:00.531828,2026-03-14 12:32:46.692484,1.28,medium,urgent,1,delivered
D00081,P000,C046,33109,2026-03-14 09:44:00.531828,2026-03-14 10:27:00.531828,2026-03-14 10:22:00.531828,3.06,low,urgent,0,delivered
D00082,P002,C028,33137,2026-03-14 07:01:00.531828,2026-03-14 07:44:00.531828,2026-03-14 07:39:00.531828,4.23,high,urgent,0,delivered
